Hero_Company,Customer_No,Customer_Name,Registry_Reference,Relationship_Type,Customer_Priority,Credit_Limit,Payment_Terms,Discount_Percent,Price_Group,Customer_Posting_Group,Gen_Bus_Posting_Group,VAT_Bus_Posting_Group,Location_Code,Salesperson_Code,Territory_Code,Currency_Code,Language_Code,Kingdom,City,Service_Level,Contract_Type,Seasonal_Customer,Cultural_Requirements,Special_Instructions,City_Code,Address,Address_2,Post_Code,Country_Region_Code,Phone_No,Email,Contact,Blocked,Payment_Method_Code
Bran's Caravans of Fortune,CUST-BC-001,Saltmere Brewing Collective,TH-2021-0088,Recurring Logistics Customer,1,50000,NET30,5,WHOLESALE,DOMESTIC,LOGISTICS,VAT-STD,GT-MAIN,BCW-BRAN,TERR-THAL,AVC,ENG,Thalassor,Seastrand,Standard,Volume Contract,No,Seafarer ale barrels require preservation enchantment in transit; merfolk crew may inspect cargo at Seastrand dock,Route via Seastrand Harbour; coordinate with Thorin's ale distribution network for shared convoy efficiency,SS,4 Coral Quay,,SS-2001,TH,+1-400-BREW-SEA,marisol@saltmerebrewing.com,Marisol Deptide,,BANK-TRANSFER
Bran's Caravans of Fortune,CUST-BC-002,Deep Vein Merchant House,UH-1998-0314,Recurring Logistics Customer,2,75000,NET45,3,WHOLESALE,CROSSREALM,LOGISTICS,VAT-UNDERGROUND,GT-MAIN,BCW-BRAN,TERR-UNDH,UHM,DWV,Underhelm,Helm's Call,Premium,Annual Contract,No,Underground delivery routes require specialist guide; Underhelm Marks currency; clan council clearance needed for first delivery,Contested underground routes; surcharge applies; Bran's Oaths diplomatic status expedites Underhelm border crossing; coordinate with local Clan contact,HC,9 Deep Vein Lane,,HC-3001,UH,+1-300-DEEPVEIN,torvik@deepvein.com,Torvik Irongrasp,,BANK-TRANSFER
Bran's Caravans of Fortune,CUST-BC-003,Thornleaf Herbalists Guild,SY-2005-0056,Specialty Cargo Customer,3,20000,NET30,0,STANDARD,DOMESTIC,LOGISTICS,VAT-STD,GT-MAIN,BCW-BRAN,TERR-SYLV,AVC,SYL,Sylvaran,Verdelune,Standard,Seasonal Contract,Yes,Living botanical cargo requires climate-controlled wagons with preservation enchantments; druidic cultural protocols in Verdelune,Seasonal schedule — spring and autumn harvests; coordinate with Weltina's Haven for ecosystem-aligned route timing; avoid logging territories,VL,3 Ancient Oak Row,,VL-4001,SY,+1-500-THORNLF,elowen@thornleaf.com,Elowen Mossbriar,,GUILD-BOND
Bran's Caravans of Fortune,CUST-BC-004,Thorin's Port & Pour,AV-2023-0002,Internal Fivefold Oaths Partner,1,200000,NET60,10,PARTNER,PARTNER,PARTNER,VAT-EXEMPT,GT-MAIN,BCW-BRAN,TERR-GOLD,AVC,ENG,Aurumvale,Goldentarn,Premium,Partnership Agreement,No,Enchanted barrel transport requires secure wagon mounts; priority loading at all shared hubs,Fivefold Oaths internal partnership; coordinated convoy scheduling; shared hub revenue split per Partnership Agreement PA-2023-001,GT,3 Caskwarden Square,,GT-1005,AV,+1-800-POUR-ALE,thorin@portandpour.com,Thorin Caskmantle,,BANK-TRANSFER
Thorin's Port & Pour,CUST-TP-001,The Golden Flagon Tavern,AV-2019-0199,Tavern Supply Customer,1,15000,NET14,0,TAVERN,DOMESTIC,ALE-DIST,VAT-STD,SS-HUB,BCW-THOR,TERR-GOLD,AVC,ENG,Aurumvale,Goldentarn,Standard,Monthly Subscription,No,Premium clientele expect Caskwarden Certified mark on all barrels; owner requests monthly tasting event coordination,Flagship Goldentarn account; regular monthly delivery first-of-month; ale curation programme active — curated selection tier,GT,18 Golden Square,,GT-2101,AV,+1-800-FLAGON1,orders@goldenflagon.com,Petra Goldcup,,CASH
Thorin's Port & Pour,CUST-TP-002,The Seafarer's Rest,TH-2018-0044,Tavern Supply Customer,2,10000,NET14,5,TAVERN,COASTAL,ALE-DIST,VAT-COAST,SS-HUB,BCW-THOR,TERR-THAL,AVC,ENG,Thalassor,Seastrand,Standard,Quarterly Contract,No,Merfolk staff prefer briny coastal varieties; storage below dock in sea-cooled cellar (no extra preservation needed),Seastrand harbour tavern; delivery via Thorin's Seastrand Hub; preferred ales — Saltmere Brewer varieties; seasonal festival ale allocation requested,SS,2 Harbour Walk,,SS-1044,TH,+1-400-SEAREST,info@seafarersrest.com,Donal Coralmoor,,CASH
Rini's Pinnacle League,CUST-RP-001,Cragspire Fighter's Academy,CD-2015-0090,Fighter Development Partner,1,30000,NET30,8,ACADEMY,CROSSREALM,LEAGUE,VAT-COMBAT,GT-ARENA,BCW-RINI,TERR-DRAK,AVC,ENG,Drakthar,Cragspire,Premium,Annual Partnership,No,Dragonborn martial honour culture; contracts must include formal honour-bond clause; arena bouts in Cragspire celebrate dragon-kin traditions,Key feeder academy for Pinnacle League fighter pipeline; 5+ fighters registered per season; revenue share on placement fees applies; Rini visits annually,CR,7 Dragon's Perch Road,,CR-6001,DT,+1-700-CRAGACD,warlord@cragspireacademy.com,Warlord Karrax,,HONOUR-BOND
Rini's Pinnacle League,CUST-RP-002,Goldentarn City Guard,AV-2020-0511,Security Placement Customer,1,40000,NET45,0,GOVERNMENT,DOMESTIC,LEAGUE,VAT-GOV,GT-ARENA,BCW-RINI,TERR-GOLD,AVC,ENG,Aurumvale,Goldentarn,Premium,Annual Contract,No,Government procurement rules apply; background checks mandatory on all placed fighters; Aurumvale legal compliance required,Primary placement channel for arena-graduate fighters into city security roles; 12 placements last year; joint training exercises quarterly,GT,1 Guard Headquarters Lane,,GT-5001,AV,+1-800-GTGUARD,contracts@goldentarnguard.gov,Captain Solvaine,,BANK-TRANSFER
Delyra's Art of Facts,CUST-DA-001,Weltina's Haven Wildlife Preserve,AV-2023-0005,Internal Fivefold Oaths Partner,1,80000,NET30,10,PARTNER,PARTNER,PARTNER,VAT-EXEMPT,GT-SHOP,BCW-DELA,TERR-GOLD,AVC,ENG,Aurumvale,Goldentarn,Premium,Partnership Agreement,No,Component authentication partnership; Delyra certifies Weltina's sustainably harvested materials as genuine for resale,Fivefold Oaths internal partnership; billing address is Weltina's Goldentarn admin office; deliveries coordinated to preserve at Verdelune; Delyra provides authentication certificates for all Weltina-sourced components,GT,22 Warden's Path,,GT-1033,AV,+1-800-HAVEN-WL,weltina@havenwildlife.com,Weltina Boons,,BANK-TRANSFER
Weltina's Haven Wildlife Preserve,CUST-WH-001,Thornleaf Herbalists Guild,SY-2005-0056,Research & Education Partner,2,12000,NET30,5,EDUCATION,DOMESTIC,PRESERVE,EDUCATION,VAT-STD,VL-FIELD,BCW-WELT,TERR-SYLV,AVC,SYL,Sylvaran,Verdelune,Standard,Annual Education Partnership,Yes,Druidic ecological protocols required; Thornleaf scholars participate in seasonal field studies; no specimen collection without Warden escort,Annual education programme — spring field studies plus one autumn research expedition; Thornleaf scholars granted Preserve access in exchange for botanical data sharing,VL,3 Ancient Oak Row,,VL-4001,SY,+1-500-THORNLF,elowen@thornleaf.com,Elowen Mossbriar,,GUILD-BOND
